Text,Book,Chapter
"On massive jaw and ample chest,",BOOK I,Canto I. Narad.
"His mighty shafts he truly aims,",BOOK I,Canto I. Narad.
And foemen in the battle tames.,BOOK I,Canto I. Narad.
"Deep in the muscle, scarcely shown,",BOOK I,Canto I. Narad.
Embedded lies his collar-bone.,BOOK I,Canto I. Narad.
"His lordly steps are firm and free,",BOOK I,Canto I. Narad.
His strong arms reach below his knee;(17),BOOK I,Canto I. Narad.
All fairest graces join to deck,BOOK I,Canto I. Narad.
"His head, his brow, his stately neck,",BOOK I,Canto I. Narad.
And limbs in fair proportion set:,BOOK I,Canto I. Narad.
The manliest form e'er fashioned yet.,BOOK I,Canto I. Narad.
"Graced with each high imperial mark,",BOOK I,Canto I. Narad.
His skin is soft and lustrous dark.,BOOK I,Canto I. Narad.
Large are his eyes that sweetly shine,BOOK I,Canto I. Narad.
With majesty almost divine.,BOOK I,Canto I. Narad.
His plighted word he ne'er forgets;,BOOK I,Canto I. Narad.
On erring sense a watch he sets.,BOOK I,Canto I. Narad.
"By nature wise, his teacher's skill",BOOK I,Canto I. Narad.
Has trained him to subdue his will.,BOOK I,Canto I. Narad.
"Good, resolute and pure, and strong,",BOOK I,Canto I. Narad.
"He guards mankind from scathe and wrong,",BOOK I,Canto I. Narad.
"And lends his aid, and ne'er in vain,",BOOK I,Canto I. Narad.
The cause of justice to maintain.,BOOK I,Canto I. Narad.
Well has he studied o'er and o'er,BOOK I,Canto I. Narad.
The Vedas(18)and their kindred lore.,BOOK I,Canto I. Narad.
"Well skilled is he the bow to draw,(19)",BOOK I,Canto I. Narad.
Well trained in arts and versed in law;,BOOK I,Canto I. Narad.
"High-souled and meet for happy fate,",BOOK I,Canto I. Narad.
Most tender and compassionate;,BOOK I,Canto I. Narad.
"The noblest of all lordly givers,",BOOK I,Canto I. Narad.
"Whom good men follow, as the rivers",BOOK I,Canto I. Narad.
"Follow the King of Floods, the sea:",BOOK I,Canto I. Narad.
"So liberal, so just is he.",BOOK I,Canto I. Narad.
"The joy of Queen Kausalya's(20)heart,",BOOK I,Canto I. Narad.
In every virtue he has part:,BOOK I,Canto I. Narad.
"Firm as Himalaya's(21) snowy steep,",BOOK I,Canto I. Narad.
Unfathomed like the mighty deep:,BOOK I,Canto I. Narad.
"The peer of Vishnu's power and might,",BOOK I,Canto I. Narad.
And lovely as the Lord of Night;(22),BOOK I,Canto I. Narad.
"Patient as Earth, but, roused to ire,",BOOK I,Canto I. Narad.
Fierce as the world-destroying fire;,BOOK I,Canto I. Narad.
"In bounty like the Lord of Gold,(23)",BOOK I,Canto I. Narad.
And Justice self in human mould.,BOOK I,Canto I. Narad.
"With him, his best and eldest son,",BOOK I,Canto I. Narad.
By all his princely virtues won,BOOK I,Canto I. Narad.
King Dasaratha(24) willed to share,BOOK I,Canto I. Narad.
His kingdom as the Regent Heir.,BOOK I,Canto I. Narad.
"But when Kaikeyi, youngest queen,",BOOK I,Canto I. Narad.
With eyes of envious hate had seen,BOOK I,Canto I. Narad.
The solemn pomp and regal state,BOOK I,Canto I. Narad.
"Prepared the prince to consecrate,",BOOK I,Canto I. Narad.
She bade the hapless king bestow,BOOK I,Canto I. Narad.
"Two gifts he promised long ago,",BOOK I,Canto I. Narad.
"That Rama to the woods should flee,",BOOK I,Canto I. Narad.
And that her child the heir should be.,BOOK I,Canto I. Narad.
"By chains of duty firmly tied,",BOOK I,Canto I. Narad.
The wretched king perforce complied.,BOOK I,Canto I. Narad.
"Rama, to please Kaikeyi went",BOOK I,Canto I. Narad.
Obedient forth to banishment.,BOOK I,Canto I. Narad.
"Then Lakshman's truth was nobly shown,",BOOK I,Canto I. Narad.
"Then were his love and courage known,",BOOK I,Canto I. Narad.
When for his brother's sake he dared,BOOK I,Canto I. Narad.
"All perils, and his exile shared.",BOOK I,Canto I. Narad.
"And Sita, Rama's darling wife,",BOOK I,Canto I. Narad.
"Loved even as he loved his life,",BOOK I,Canto I. Narad.
"Whom happy marks combined to bless,",BOOK I,Canto I. Narad.
"A miracle of loveliness,",BOOK I,Canto I. Narad.
"Of Janak's royal lineage sprung,",BOOK I,Canto I. Narad.
"Most excellent of women, clung",BOOK I,Canto I. Narad.
"To her dear lord, like Rohini",BOOK I,Canto I. Narad.
Rejoicing with the Moon to be.(25),BOOK I,Canto I. Narad.
"The King and people, sad of mood,",BOOK I,Canto I. Narad.
The hero's car awhile pursued.,BOOK I,Canto I. Narad.
But when Prince Rama lighted down,BOOK I,Canto I. Narad.
"At Sringavera's pleasant town,",BOOK I,Canto I. Narad.
"Where Ganga's holy waters flow,",BOOK I,Canto I. Narad.
He bade his driver turn and go.,BOOK I,Canto I. Narad.
"Guha, Nishadas' king, he met,",BOOK I,Canto I. Narad.
And on the farther bank was set.,BOOK I,Canto I. Narad.
"Then on from wood to wood they strayed,",BOOK I,Canto I. Narad.
"O'er many a stream, through constant shade,",BOOK I,Canto I. Narad.
"As Bharadvaja bade them, till",BOOK I,Canto I. Narad.
They came to Chitrakuta's hill.,BOOK I,Canto I. Narad.
"And Rama there, with Lakshman's aid,",BOOK I,Canto I. Narad.
"A pleasant little cottage made,",BOOK I,Canto I. Narad.
"And spent his days with Sita, dressed",BOOK I,Canto I. Narad.
In coat of bark and deerskin vest.(26),BOOK I,Canto I. Narad.
And Chitrakuta grew to be,BOOK I,Canto I. Narad.
As bright with those illustrious three,BOOK I,Canto I. Narad.
As Meru's(27) sacred peaks that shine,BOOK I,Canto I. Narad.
"With glory, when the Gods recline",BOOK I,Canto I. Narad.
Beneath them: Siva's(28) self between,BOOK I,Canto I. Narad.
The Lord of Gold and Beauty's Queen.,BOOK I,Canto I. Narad.
"The aged king for Rama pined,",BOOK I,Canto I. Narad.
And for the skies the earth resigned.,BOOK I,Canto I. Narad.
"Bharat, his son, refused to reign,",BOOK I,Canto I. Narad.
Though urged by all the twice-born(29) train.,BOOK I,Canto I. Narad.
Forth to the woods he fared to meet,BOOK I,Canto I. Narad.
"His brother, fell before his feet,",BOOK I,Canto I. Narad.
"And cried, ""Thy claim all men allow:",BOOK I,Canto I. Narad.
"O come, our lord and king be thou.""",BOOK I,Canto I. Narad.
But Rama nobly chose to be,BOOK I,Canto I. Narad.
Observant of his sire's decree.,BOOK I,Canto I. Narad.
He placed his sandals(30) in his hand,BOOK I,Canto I. Narad.
A pledge that he would rule the land:,BOOK I,Canto I. Narad.
And bade his brother turn again.,BOOK I,Canto I. Narad.
"Then Bharat, finding prayer was vain,",BOOK I,Canto I. Narad.
The sandals took and went away;,BOOK I,Canto I. Narad.
Nor in Ayodhya would he stay.,BOOK I,Canto I. Narad.
"But turned to Nandigrama, where",BOOK I,Canto I. Narad.
"He ruled the realm with watchful care,",BOOK I,Canto I. Narad.
Still longing eagerly to learn,BOOK I,Canto I. Narad.
Tidings of Rama's safe return.,BOOK I,Canto I. Narad.
Then lest the people should repeat,BOOK I,Canto I. Narad.
"Their visit to his calm retreat,",BOOK I,Canto I. Narad.
Away from Chitrakuta's hill,BOOK I,Canto I. Narad.
Fared Rama ever onward till,BOOK I,Canto I. Narad.
Beneath the shady trees he stood,BOOK I,Canto I. Narad.
"Of Dandaka's primeval wood,",BOOK I,Canto I. Narad.
"Viradha, giant fiend, he slew,",BOOK I,Canto I. Narad.
And then Agastya's friendship knew.,BOOK I,Canto I. Narad.
Counselled by him he gained the sword,BOOK I,Canto I. Narad.
"And bow of Indra, heavenly lord:",BOOK I,Canto I. Narad.
"A pair of quivers too, that bore",BOOK I,Canto I. Narad.
Of arrows an exhaustless store.,BOOK I,Canto I. Narad.
While there he dwelt in greenwood shade,BOOK I,Canto I. Narad.
"The trembling hermits sought his aid,",BOOK I,Canto I. Narad.
And bade him with his sword and bow,BOOK I,Canto I. Narad.
Destroy the fiends who worked them woe:,BOOK I,Canto I. Narad.
"To come like Indra strong and brave,",BOOK I,Canto I. Narad.
A guardian God to help and save.,BOOK I,Canto I. Narad.
And Rama's falchion left its trace,BOOK I,Canto I. Narad.
Deep cut on Surpanakha's face:,BOOK I,Canto I. Narad.
A hideous giantess who came,BOOK I,Canto I. Narad.
Burning for him with lawless flame.,BOOK I,Canto I. Narad.
Their sister's cries the giants heard.,BOOK I,Canto I. Narad.
And vengeance in each bosom stirred:,BOOK I,Canto I. Narad.
The monster of the triple head.,BOOK I,Canto I. Narad.
And Dushan to the contest sped.,BOOK I,Canto I. Narad.
But they and myriad fiends beside,BOOK I,Canto I. Narad.
Beneath the might of Rama died.,BOOK I,Canto I. Narad.
"When Ravan, dreaded warrior, knew",BOOK I,Canto I. Narad.
The slaughter of his giant crew:,BOOK I,Canto I. Narad.
"Ravan, the king, whose name of fear",BOOK I,Canto I. Narad.
"Earth, hell, and heaven all shook to hear:",BOOK I,Canto I. Narad.
He bade the fiend Maricha aid,BOOK I,Canto I. Narad.
The vengeful plot his fury laid.,BOOK I,Canto I. Narad.
In vain the wise Maricha tried,BOOK I,Canto I. Narad.
To turn him from his course aside:,BOOK I,Canto I. Narad.
"Not Ravan's self, he said, might hope",BOOK I,Canto I. Narad.
With Rama and his strength to cope.,BOOK I,Canto I. Narad.
Impelled by fate and blind with rage,BOOK I,Canto I. Narad.
He came to Rama's hermitage.,BOOK I,Canto I. Narad.
"There, by Maricha's magic art,",BOOK I,Canto I. Narad.
"He wiled the princely youths apart,",BOOK I,Canto I. Narad.
"The vulture(31) slew, and bore away",BOOK I,Canto I. Narad.
The wife of Rama as his prey.,BOOK I,Canto I. Narad.
The son of Raghu(32) came and found,BOOK I,Canto I. Narad.
Jatayu slain upon the ground.,BOOK I,Canto I. Narad.
He rushed within his leafy cot;,BOOK I,Canto I. Narad.
"He sought his wife, but found her not.",BOOK I,Canto I. Narad.
"Then, then the hero's senses failed;",BOOK I,Canto I. Narad.
In mad despair he wept and wailed.,BOOK I,Canto I. Narad.
"Upon the pile that bird he laid,",BOOK I,Canto I. Narad.
And still in quest of Sita strayed.,BOOK I,Canto I. Narad.
"A hideous giant then he saw,",BOOK I,Canto I. Narad.
"Kabandha named, a shape of awe.",BOOK I,Canto I. Narad.
"The monstrous fiend he smote and slew,",BOOK I,Canto I. Narad.
And in the flame the body threw;,BOOK I,Canto I. Narad.
When straight from out the funeral flame,BOOK I,Canto I. Narad.
"In lovely form Kabandha came,",BOOK I,Canto I. Narad.
And bade him seek in his distress,BOOK I,Canto I. Narad.
A wise and holy hermitess.,BOOK I,Canto I. Narad.
By counsel of this saintly dame,BOOK I,Canto I. Narad.
"To Pampa's pleasant flood he came,",BOOK I,Canto I. Narad.
And there the steadfast friendship won,BOOK I,Canto I. Narad.
Of Hanuman the Wind-God's son.,BOOK I,Canto I. Narad.
Counselled by him he told his grief,BOOK I,Canto I. Narad.
"To great Sugriva, Vanar chief,",BOOK I,Canto I. Narad.
"Who, knowing all the tale, before",BOOK I,Canto I. Narad.
The sacred flame alliance swore.,BOOK I,Canto I. Narad.
Sugriva to his new-found friend,BOOK I,Canto I. Narad.
Told his own story to the end:,BOOK I,Canto I. Narad.
His hate of Bali for the wrong,BOOK I,Canto I. Narad.
And insult he had borne so long.,BOOK I,Canto I. Narad.
And Rama lent a willing ear,BOOK I,Canto I. Narad.
And promised to allay his fear.,BOOK I,Canto I. Narad.
Sugriva warned him of the might,BOOK I,Canto I. Narad.
"Of Bali, matchless in the fight,",BOOK I,Canto I. Narad.
"And, credence for his tale to gain,",BOOK I,Canto I. Narad.
Showed the huge fiend(33) by Bali slain.,BOOK I,Canto I. Narad.
The prostrate corse of mountain size,BOOK I,Canto I. Narad.
Seemed nothing in the hero's eyes;,BOOK I,Canto I. Narad.
"He lightly kicked it, as it lay,",BOOK I,Canto I. Narad.
And cast it twenty leagues(34) away.,BOOK I,Canto I. Narad.
To prove his might his arrows through,BOOK I,Canto I. Narad.
"Seven palms in line, uninjured, flew.",BOOK I,Canto I. Narad.
"He cleft a mighty hill apart,",BOOK I,Canto I. Narad.
And down to hell he hurled his dart.,BOOK I,Canto I. Narad.
"Then high Sugriva's spirit rose,",BOOK I,Canto I. Narad.
Assured of conquest o'er his foes.,BOOK I,Canto I. Narad.
With his new champion by his side,BOOK I,Canto I. Narad.
To vast Kishkindha's cave he hied.,BOOK I,Canto I. Narad.
"Then, summoned by his awful shout,",BOOK I,Canto I. Narad.
"King Bali came in fury out,",BOOK I,Canto I. Narad.
"First comforted his trembling wife,",BOOK I,Canto I. Narad.
Then sought Sugriva in the strife.,BOOK I,Canto I. Narad.
One shaft from Rama's deadly bow,BOOK I,Canto I. Narad.
The monarch in the dust laid low.,BOOK I,Canto I. Narad.
Then Rama bade Sugriva reign,BOOK I,Canto I. Narad.
In place of royal Bali slain.,BOOK I,Canto I. Narad.
Then speedy envoys hurried forth,BOOK I,Canto I. Narad.
"Eastward and westward, south and north,",BOOK I,Canto I. Narad.
Commanded by the grateful king,BOOK I,Canto I. Narad.
Tidings of Rama's spouse to bring.,BOOK I,Canto I. Narad.
"Then by Sampati's counsel led,",BOOK I,Canto I. Narad.
"Brave Hanuman, who mocked at dread,",BOOK I,Canto I. Narad.
Sprang at one wild tremendous leap,BOOK I,Canto I. Narad.
Two hundred leagues across the deep.,BOOK I,Canto I. Narad.
"To Lanka's(35) town he urged his way,",BOOK I,Canto I. Narad.
Where Ravan held his royal sway.,BOOK I,Canto I. Narad.
There pensive 'neath Asoka(36) boughs,BOOK I,Canto I. Narad.
"He found poor Sita, Rama's spouse.",BOOK I,Canto I. Narad.
"He gave the hapless girl a ring,",BOOK I,Canto I. Narad.
A token from her lord and king.,BOOK I,Canto I. Narad.
A pledge from her fair hand he bore;,BOOK I,Canto I. Narad.
Then battered down the garden door.,BOOK I,Canto I. Narad.
"Five captains of the host he slew,",BOOK I,Canto I. Narad.
Seven sons of councillors o'erthrew;,BOOK I,Canto I. Narad.
"Crushed youthful Aksha on the field,",BOOK I,Canto I. Narad.
Then to his captors chose to yield.,BOOK I,Canto I. Narad.
"Soon from their bonds his limbs were free,",BOOK I,Canto I. Narad.
But honouring the high decree,BOOK I,Canto I. Narad.
"Which Brahma(37) had pronounced of yore,",BOOK I,Canto I. Narad.
He calmly all their insults bore.,BOOK I,Canto I. Narad.
"The town he burnt with hostile flame,",BOOK I,Canto I. Narad.
"And spoke again with Rama's dame,",BOOK I,Canto I. Narad.
Then swiftly back to Rama flew,BOOK I,Canto I. Narad.
With tidings of the interview.,BOOK I,Canto I. Narad.
"Then with Sugriva for his guide,",BOOK I,Canto I. Narad.
Came Rama to the ocean side.,BOOK I,Canto I. Narad.
He smote the sea with shafts as bright,BOOK I,Canto I. Narad.
"As sunbeams in their summer height,",BOOK I,Canto I. Narad.
And quick appeared the Rivers' King(38),BOOK I,Canto I. Narad.
Obedient to the summoning.,BOOK I,Canto I. Narad.
A bridge was thrown by Nala o'er,BOOK I,Canto I. Narad.
The narrow sea from shore to shore.(39),BOOK I,Canto I. Narad.
"They crossed to Lanka's golden town,",BOOK I,Canto I. Narad.
Where Rama's hand smote Ravan down.,BOOK I,Canto I. Narad.
Vibhishan there was left to reign,BOOK I,Canto I. Narad.
Over his brother's wide domain.,BOOK I,Canto I. Narad.
To meet her husband Sita came;,BOOK I,Canto I. Narad.
"But Rama, stung with ire and shame,",BOOK I,Canto I. Narad.
With bitter words his wife addressed,BOOK I,Canto I. Narad.
Before the crowd that round her pressed.,BOOK I,Canto I. Narad.
"But Sita, touched with noble ire,",BOOK I,Canto I. Narad.
Gave her fair body to the fire.,BOOK I,Canto I. Narad.
"Then straight the God of Wind appeared,",BOOK I,Canto I. Narad.
And words from heaven her honour cleared.,BOOK I,Canto I. Narad.
"And Rama clasped his wife again,",BOOK I,Canto I. Narad.
"Uninjured, pure from spot and stain,",BOOK I,Canto I. Narad.
Obedient to the Lord of Fire,BOOK I,Canto I. Narad.
And the high mandate of his sire.,BOOK I,Canto I. Narad.
"Led by the Lord who rules the sky,",BOOK I,Canto I. Narad.
"The Gods and heavenly saints drew nigh,",BOOK I,Canto I. Narad.
"And honoured him with worthy meed,",BOOK I,Canto I. Narad.
Rejoicing in each glorious deed.,BOOK I,Canto I. Narad.
"His task achieved, his foe removed,",BOOK I,Canto I. Narad.
"He triumphed, by the Gods approved.",BOOK I,Canto I. Narad.
By grace of Heaven he raised to life,BOOK I,Canto I. Narad.
The chieftains slain in mortal strife;,BOOK I,Canto I. Narad.
Then in the magic chariot through,BOOK I,Canto I. Narad.
The clouds to Nandigrama flew.,BOOK I,Canto I. Narad.
"Met by his faithful brothers there,",BOOK I,Canto I. Narad.
He loosed his votive coil of hair:,BOOK I,Canto I. Narad.
"Thence fair Ayodhya's town he gained,",BOOK I,Canto I. Narad.
And o'er his father's kingdom reigned.,BOOK I,Canto I. Narad.
Disease or famine ne'er oppressed,BOOK I,Canto I. Narad.
"His happy people, richly blest",BOOK I,Canto I. Narad.
"With all the joys of ample wealth,",BOOK I,Canto I. Narad.
Of sweet content and perfect health.,BOOK I,Canto I. Narad.
"No widow mourned her well-loved mate,",BOOK I,Canto I. Narad.
No sire his son's untimely fate.,BOOK I,Canto I. Narad.
They feared not storm or robber's hand;,BOOK I,Canto I. Narad.
No fire or flood laid waste the land:,BOOK I,Canto I. Narad.
The Golden Age(40) had come again,BOOK I,Canto I. Narad.
To bless the days of Rama's reign.,BOOK I,Canto I. Narad.
"From him, the great and glorious king,",BOOK I,Canto I. Narad.
Shall many a princely scion spring.,BOOK I,Canto I. Narad.
"And he shall rule, beloved by men,",BOOK I,Canto I. Narad.
"Ten thousand years and hundreds ten,(41)",BOOK I,Canto I. Narad.
And when his life on earth is past,BOOK I,Canto I. Narad.
"To Brahma's world shall go at last.""",BOOK I,Canto I. Narad.
Whoe'er this noble poem reads,BOOK I,Canto I. Narad.
"That tells the tale of Rama's deeds,",BOOK I,Canto I. Narad.
"Good as the Scriptures, he shall be",BOOK I,Canto I. Narad.
From every sin and blemish free.,BOOK I,Canto I. Narad.
"Whoever reads the saving strain,",BOOK I,Canto I. Narad.
With all his kin the heavens shall gain.,BOOK I,Canto I. Narad.
Brahmans who read shall gather hence,BOOK I,Canto I. Narad.
The highest praise for eloquence.,BOOK I,Canto I. Narad.
"The warrior, o'er the land shall reign,",BOOK I,Canto I. Narad.
"The merchant, luck in trade obtain;",BOOK I,Canto I. Narad.
And Sudras listening(42) ne'er shall fail,BOOK I,Canto I. Narad.
To reap advantage from the tale.(43),BOOK I,Canto II. Brahma's Visit
"Valmiki, graceful speaker, heard,",BOOK I,Canto II. Brahma's Visit
To highest admiration stirred.,BOOK I,Canto II. Brahma's Visit
To him whose fame the tale rehearsed,BOOK I,Canto II. Brahma's Visit
He paid his mental worship first;,BOOK I,Canto II. Brahma's Visit
Then with his pupil humbly bent,BOOK I,Canto II. Brahma's Visit
Before the saint most eloquent.,BOOK I,Canto II. Brahma's Visit
Thus honoured and dismissed the seer,BOOK I,Canto II. Brahma's Visit
Departed to his heavenly sphere.,BOOK I,Canto II. Brahma's Visit
Then from his cot Valmiki hied,BOOK I,Canto II. Brahma's Visit
"To Tamasa's(44) sequestered side,",BOOK I,Canto II. Brahma's Visit
Not far remote from Ganga's tide.,BOOK I,Canto II. Brahma's Visit
He stood and saw the ripples roll,BOOK I,Canto II. Brahma's Visit
Pellucid o'er a pebbly shoal.,BOOK I,Canto II. Brahma's Visit
To Bharadvaja(45) by his side,BOOK I,Canto II. Brahma's Visit
"He turned in ecstasy, and cried:",BOOK I,Canto II. Brahma's Visit
"""See, pupil dear, this lovely sight,",BOOK I,Canto II. Brahma's Visit
"The smooth-floored shallow, pure and bright,",BOOK I,Canto II. Brahma's Visit
"With not a speck or shade to mar,",BOOK I,Canto II. Brahma's Visit
And clear as good men's bosoms are.,BOOK I,Canto II. Brahma's Visit
"Here on the brink thy pitcher lay,",BOOK I,Canto II. Brahma's Visit
"And bring my zone of bark, I pray.",BOOK I,Canto II. Brahma's Visit
"Here will I bathe: the rill has not,",BOOK I,Canto II. Brahma's Visit
"To lave the limbs, a fairer spot.",BOOK I,Canto II. Brahma's Visit
"Do quickly as I bid, nor waste",BOOK I,Canto II. Brahma's Visit
"The precious time; away, and haste.""",BOOK I,Canto II. Brahma's Visit
Obedient to his master's hest,BOOK I,Canto II. Brahma's Visit
Quick from the cot he brought the vest;,BOOK I,Canto II. Brahma's Visit
"The hermit took it from his hand,",BOOK I,Canto II. Brahma's Visit
And tightened round his waist the band;,BOOK I,Canto II. Brahma's Visit
"Then duly dipped and bathed him there,",BOOK I,Canto II. Brahma's Visit
And muttered low his secret prayer.,BOOK I,Canto II. Brahma's Visit
To spirits and to Gods he made,BOOK I,Canto II. Brahma's Visit
"Libation of the stream, and strayed",BOOK I,Canto II. Brahma's Visit
Viewing the forest deep and wide,BOOK I,Canto II. Brahma's Visit
That spread its shade on every side.,BOOK I,Canto II. Brahma's Visit
Close by the bank he saw a pair,BOOK I,Canto II. Brahma's Visit
Of curlews sporting fearless there.,BOOK I,Canto II. Brahma's Visit
But suddenly with evil mind,BOOK I,Canto II. Brahma's Visit
"An outcast fowler stole behind,",BOOK I,Canto II. Brahma's Visit
"And, with an aim too sure and true,",BOOK I,Canto II. Brahma's Visit
The male bird near the hermit slew.,BOOK I,Canto II. Brahma's Visit
The wretched hen in wild despair,BOOK I,Canto II. Brahma's Visit
"With fluttering pinions beat the air,",BOOK I,Canto II. Brahma's Visit
And shrieked a long and bitter cry,BOOK I,Canto II. Brahma's Visit
"When low on earth she saw him lie,",BOOK I,Canto II. Brahma's Visit
"Her loved companion, quivering, dead,",BOOK I,Canto II. Brahma's Visit
His dear wings with his lifeblood red;,BOOK I,Canto II. Brahma's Visit
And for her golden crested mate,BOOK I,Canto II. Brahma's Visit
"She mourned, and was disconsolate.",BOOK I,Canto II. Brahma's Visit
"The hermit saw the slaughtered bird,",BOOK I,Canto II. Brahma's Visit
And all his heart with ruth was stirred.,BOOK I,Canto II. Brahma's Visit
The fowler's impious deed distressed,BOOK I,Canto II. Brahma's Visit
"His gentle sympathetic breast,",BOOK I,Canto II. Brahma's Visit
And while the curlew's sad cries rang,BOOK I,Canto II. Brahma's Visit
"Within his ears, the hermit sang:",BOOK I,Canto II. Brahma's Visit
"""No fame be thine for endless time,",BOOK I,Canto II. Brahma's Visit
"Because, base outcast, of thy crime,",BOOK I,Canto II. Brahma's Visit
Whose cruel hand was fain to slay,BOOK I,Canto II. Brahma's Visit
"One of this gentle pair at play!""",BOOK I,Canto II. Brahma's Visit
E'en as he spoke his bosom wrought,BOOK I,Canto II. Brahma's Visit
And laboured with the wondering thought,BOOK I,Canto II. Brahma's Visit
What was the speech his ready tongue,BOOK I,Canto II. Brahma's Visit
Had uttered when his heart was wrung.,BOOK I,Canto II. Brahma's Visit
"He pondered long upon the speech,",BOOK I,Canto II. Brahma's Visit
"Recalled the words and measured each,",BOOK I,Canto II. Brahma's Visit
And thus exclaimed the saintly guide,BOOK I,Canto II. Brahma's Visit
To Bharadvaja by his side:,BOOK I,Canto II. Brahma's Visit
"""With equal lines of even feet,",BOOK I,Canto II. Brahma's Visit
"With rhythm and time and tone complete,",BOOK I,Canto II. Brahma's Visit
The measured form of words I spoke,BOOK I,Canto II. Brahma's Visit
"In shock of grief be termed a sloke.""(46)",BOOK I,Canto II. Brahma's Visit
"And Bharadvaja, nothing slow",BOOK I,Canto II. Brahma's Visit
"His faithful love and zeal to show,",BOOK I,Canto II. Brahma's Visit
"Answered those words of wisdom, ""Be",BOOK I,Canto II. Brahma's Visit
